query,KO,taxon,score
g575.t1,K05841,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_2G02220,28.8758
g8012.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603220WA,111.309
g433.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401960CA,244.202
g4958.t1,K01426,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702920WA,53.1434
g7368.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703290CA,253.447
g4754.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207110CA,647.121
g2619.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703410CA,104.375
g5840.t1,K28103,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400820WA,56.225
g7447.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C503880CA,26.1794
g8052.t1,K17269,Animals | Mammals | Rodentia | mmu:17196,35.039
g346.t1,None,Viruses | Viruses | vg | vg:17777460,30.8018
g3445.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_02g089500v5,28.1054
g726.t1,None,Viruses | Viruses | vg | vg:80516199,25.0238
g4612.t1,K19947,Animals | Mammals | Lagomorpha | ocu:100354238,31.5722
g4345.t1,K15140,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C101280CA,134.806
g5139.t1,None,Bacteria | Mycoplasmatota | Mycoplasmoides | mge:MG_390,25.409
g3500.t1,K11275,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703180CA,31.9574
g3731.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,880.167
g83.t1,None,Viruses | Viruses | vg | vg:18504753,28.1054
g5531.t1,None,Protists | Stramenopiles | Bacillariophyta | tps:THAPSDRAFT_9941,29.6462
g1854.t1,None,Archaea | Methanobacteriota | Methanosarcina | mba:Mbar_A0372,21.557
g1175.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,63.1586
g3183.t1,K20353,Plants | Monocots | Poaceae | osa:4328009,30.8018
g2092.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202260WA,184.882
g7443.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600280WA,40.4318
g4114.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02600WA,131.724
g504.t1,K11294,Plants | Eudicots | Euphorbiaceae | rcu:8281437,40.0466
g389.t1,K26544,Plants | Eudicots | Euphorbiaceae | rcu:8285746,31.9574
g1795.t1,None,Plants | Eudicots | Rosaceae | mdm:103410410,27.335
g4300.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,135.191
g7358.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_11g467663v5,29.261
g3113.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,27.335
g2986.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C503430WA,53.9138
g560.t1,K11244,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602670CA,76.2553
g98.t1,K00013,Bacteria | Aquificota | Aquifex | aae:aq_782,24.6386
g7039.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400600CA,127.487
g2664.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307900CA,35.4242
g2644.t1,None,Animals | Amphibians | Anura | xtr:100495411,29.261
g7735.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,258.84
g1676.t1,None,Animals | Amphibians | Anura | xla:108716955,31.187
g99.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,259.61
g573.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500250CA,35.039
g760.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104350CA,173.326
g1497.t1,None,Bacteria | Alphaproteobacteria | Rhizobium | rle:pRL120114,28.8758
g1308.t1,None,Viruses | Viruses | vg | vg:77941351,28.4906
g4116.t1,K01918,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02580WA,472.626
g1986.t1,K27698,Animals | Amphibians | Anura | xtr:100145560,43.1282
g3227.t1,K11778,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505330CA,60.8474
g271.t1,K11584,Fungi | Ascomycetes | Sordariomycetes | fgr:FGSG_05894,30.8018
g2174.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C201760CA,83.9593
g254.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107150WA,78.5666
g1431.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104720WA,89.3521
g1152.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,96.6709
g2670.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702540WA,79.7221
g6746.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,689.493
g5229.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_12g504100v5,30.8018
g5297.t1,K05463,Animals | Mammals | Didelphimorphia | mdo:100014767,27.335
g7052.t1,None,Animals | Mammals | Artiodactyla | bta:112447830,31.187
g7223.t2,None,Plants | Eudicots | Rosaceae | mdm:103413589,28.4906
g5889.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,78.1814
g2437.t1,K11676,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208720WA,182.956
g1474.t1,None,Plants | Monocots | Poaceae | zma:103647762,25.0238
g2044.t1,K02847,Bacteria | Enterobacteria | Escherichia | ecs:ECs_4500,29.6462
g7660.t1,K15255,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00060CA,134.035
g4577.t1,K13587,Bacteria | Alphaproteobacteria | Agrobacterium | atu:Atu1362,28.4906
g3911.t1,K10992,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05580CA,148.288
g6425.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,123.25
g7147.t1,K03042,Archaea | Thermoproteota | Sulfolobus | sai:Saci_0691,28.4906
g7374.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,96.6709
g6569.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,64.6994
g8120.t1,None,Bacteria | Actinomycetota | Streptomyces | sgr:SGR_6099,29.6462
g5359.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306700CA,41.9726
g5036.t1,K12619,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401080WA,139.813
g3195.t1,None,Plants | Eudicots | Solanaceae | sly:101251140,32.7278
g1875.t1,K15160,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703320CA,28.4906
g4435.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200900WA,33.4982
g8229.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C110580CA,46.2098
g7538.t1,K03457,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303140CA,955.281
g6575.t1,None,Animals | Mammals | Primates | mcc:716147,23.8682
g1218.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303490WA,78.9517
g3251.t1,K21053,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C206970WA,580.096
g1664.t1,None,Plants | Eudicots | Rutaceae | cit:102614591,29.261
g5079.t1,K21855,Viruses | Viruses | vg | vg:2949781,28.4906
g5262.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306700CA,42.743
g345.t1,K06507,Animals | Fishes | Cypriniformes | dre:100329481,34.2686
g5718.t1,K18827,Bacteria | Enterobacteria | Escherichia | ecx:EcHS_A2169,26.1794
g3387.t1,None,Protists | Amoebozoa | Evosea | ddi:DDB_G0268076,34.2686
g3764.t1,None,Plants | Monocots | Poaceae | zma:103647762,25.0238
g4120.t1,None,Protists | Stramenopiles | Bacillariophyta | pti:PHATRDRAFT_8239,29.261
g2139.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202220CA,88.1965
g5715.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109930WA,46.2098
g2678.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,2065.04
g2013.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203440WA,37.7354
g2780.t1,None,Viruses | Viruses | vg | vg:28801365,36.965
g460.t2,None,Plants | Eudicots | Solanaceae | sly:101250077,43.1282
g1136.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505240CA,86.2705
g583.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500250CA,35.039
g390.t1,K21156,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603580WA,51.2174
g5992.t1,None,Plants | Eudicots | Rosaceae | mdm:103431576,29.261
g5925.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302250CA,47.3654
